# TEXAS Proxy Archaeal Cultures - Species/Taxa List
# Dataset: texas_genome_tree
# Generated: Mon Aug 25 14:19:00 UTC 2025
# Format: GenomeAccession -> Species/Taxon

GCA_000016605.1 -> Metallosphaera sedula
GCA_000200715.1 -> Cenarchaeum symbiosum
GCA_000204585.1 -> Nitrosarchaeum limnae
GCF_000007005.1 -> Saccharolobus solfataricus
GCF_000018465.1 -> Nitrosopumilus maritimus
GCF_000144915.1 -> Acidilobus saccharovorans
GCF_000190315.1 -> Vulcanisaeta moutnovskia
GCF_000193375.1 -> Thermoproteus uzoniensis
GCF_000220175.1 -> Nitrosarchaeum koreense
GCF_000231015.2 -> Desulfurococcus amylolyticus
GCF_000299365.1 -> Nitrosopumilus koreensis
GCF_000303155.1 -> Nitrososphaera gargensis
GCF_000513855.1 -> Desulfurococcus amylolyticus
GCF_000698785.1 -> Nitrososphaera viennensis
GCF_000723185.1 -> Nitrosotenuis uzonensis
GCF_000802205.1 -> Nitrosocosmicus oleophilus
GCF_000812185.1 -> Nitrosopelagicus brevis
GCF_000875775.1 -> Nitrosopumilus piranensis
GCF_000956175.1 -> Nitrosopumilus adriaticus
GCF_002156965.1 -> Nitrosopumilus catalinensis
GCF_013407145.1 -> Nitrosopumilus cobalaminigenes
GCF_013407165.1 -> Nitrosopumilus oxyclinae
GCF_013407185.1 -> Nitrosopumilus ureiphilus
GCF_030518575.1 -> Nitrosotenuis chungbukensis
GCF_900176435.1 -> Picrophilus oshimae
