,sampleID,sampleName,Source,modernWaterDepth,Latitude,Longitude,SST,TEX86,RI_zhang16,RI_zhang16_revised,RI_0to5,gdgt23ratio,BIT,gdgtZeroOverZeroCren,methaneIndex,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,datatype,phyloT_order,Temperature,Temperature_thermoT,Temperature_thermoT_depthIntegral,Temperature_thermoT_weightedIntegral,violin_bins,GTDB_phylum,NCBI_phylum,GTDB_class,NCBI_class,GTDB_order,NCBI_order,GTDB_family,NCBI_family,Strains,experiment_setup,organism_broadClass,organism_broadClass2,organism_broadClass3,GTDB_classGTDB_family,ringIndex_0to8,ringIndex_0to6,reported_1302,reported_1300,reported_1298,reported_1296,reported_1292,reported_1292_iso,reported_1294,reported_1290,reported_1288,reported_1286,reported_1292_iso2,reported_1294_iso,reported_1290_iso,reported_1288_iso,reported_1286_iso,RI_zhang16_scaled,RI_zhang16_revised_scaled,RI_0to5_scaled,ringIndex_0to6_scaled,ringIndex_0to8_scaled,QC_flag,anti_TEX86,T50_threshold,T_bins,CPOCratio,gdgt12ratio,CPMPindex,Bp21index
0,TEXAS_PSM_RR00002,KNR195-5 MC11,this study,2288.0,-1.5327,-86.7852,23.59149932861328,0.602872857,2.341605682,2.8743691740000004,2.8743691740000004,13.185451487252486,0.026816557,0.330589243,0.20413066801076218,0.330589243,0.067609609,0.064170863,0.004866793,0.499163998,0.033599494,coretop,-1.0,23.59149932861328,20.449209213256836,22.762649536132812,18.768986634044083,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.8743691740000004,2.8743691740000004,,,,,,,,,,,,,,,,0.5854014205,0.5748738348000001,0.5748738348000001,0.47906152900000004,0.35929614675000004,include,0.601581257336722,below,20to30,0.0630664347398639,1.0535873422802495,0.8854035414175223,0.02423482903894015
1,TEXAS_PSM_RR00005,KNR195-5 MC18,this study,1024.0,-3.969,-81.31,21.894609451293945,0.599446802,2.5665245889999997,3.1582312399999997,3.1582312399999997,4.882710064971028,0.033433999,0.282415155,0.17541924815873167,0.282415155,0.062783799,0.052368999,0.010725396,0.560842121,0.03086453,coretop,-1.0,21.894609451293945,20.246809005737305,21.460620880126953,18.921852559657935,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.1582312399999997,3.1582312399999997,,,,,,,,,,,,,,,,0.6416311472499999,0.6316462479999999,0.6316462479999999,0.5263718733333332,0.39477890499999996,include,0.665090165198883,below,20to30,0.05216187776128277,1.1988733830868143,0.7124142632768594,0.060171472097179116
2,TEXAS_PSM_RR00007,KNR195-5 MC25,this study,381.0,-3.583,-81.165,22.924890518188477,0.617191577,2.503134943,3.0721264120000003,3.0721264120000003,4.409615406703336,0.029310252,0.292011378,0.19632681865849702,0.292011378,0.064581435,0.060659525,0.013756194,0.539284302,0.029707167,coretop,-1.0,22.924890518188477,20.12049102783203,22.01034927368164,18.73973728096213,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.0721264120000003,3.0721264120000003,,,,,,,,,,,,,,,,0.62578373575,0.6144252824,0.6144252824,0.5120210686666667,0.38401580150000003,include,0.6487274203084996,below,20to30,0.05221021512362956,1.0646544792429549,0.7743344517103012,0.06889924278466036
3,TEXAS_PSM_RR00008,KNR195-5 MC33,this study,2949.0,-3.2237,-82.9142,21.708290100097656,0.605147278,2.427417218,2.980610658,2.980610658,6.868635299205462,0.035502457,0.30927021,0.19911744359541814,0.30927021,0.069123602,0.059718388,0.00869436,0.515668055,0.037525385,coretop,-1.0,21.708290100097656,18.52968978881836,20.722990036010742,17.451632463198518,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.980610658,2.980610658,,,,,,,,,,,,,,,,0.6068543045,0.5961221315999999,0.5961221315999999,0.49676844299999995,0.37257633225,include,0.6250989642237047,below,20to30,0.06783411061418226,1.1574927642052228,0.7674113593465735,0.04407681198511946
4,TEXAS_PSM_RR00009,KNR195-5 MC34,this study,3224.0,-3.5975,-83.9632,22.364599227905273,0.588670023,2.248913291,2.751584178,2.751584178,8.430655187703637,0.032599689,0.344232594,0.23346161702949902,0.344232594,0.076125124,0.068809566,0.008161829,0.470696713,0.031974174,coretop,-1.0,22.364599227905273,19.300899505615234,21.486419677734375,17.775584241686825,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.751584178,2.751584178,,,,,,,,,,,,,,,,0.56222832275,0.5503168356,0.5503168356,0.458597363,0.34394802225,include,0.5775920794072019,below,20to30,0.06360856541906713,1.106316002632541,0.8163726834448507,0.03678055516143237
5,TEXAS_PSM_RR00011,KNR195-5 MC4,this study,1612.0,-0.216,-89.504,24.308210372924805,0.623206848,2.330670446,2.855481428,2.855481428,9.82746556735893,0.188620497,0.328431624,0.21852934004146735,0.328431624,0.069246957,0.07035175,0.007158687,0.487788611,0.037022371,coretop,-1.0,24.308210372924805,21.625289916992188,23.783859252929688,19.315681858803018,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.855481428,2.855481428,,,,,,,,,,,,,,,,0.5826676115,0.5710962856,0.5710962856,0.47591357133333334,0.3569351785,include,0.5976188656974426,below,20to30,0.07054420023550498,0.9842961546798764,0.9207664030683389,0.03297275678080146
6,TEXAS_PSM_RR00012,KNR195-5 MC42,this study,615.0,-1.253,-89.6855,23.38549041748047,0.630416208,2.4329558749999998,2.9783746239999997,2.9783746239999997,6.656816979721705,0.032614874,0.297720977,0.2233589067014481,0.297720977,0.073346752,0.072606442,0.010907081,0.503821316,0.041597433,coretop,-1.0,23.38549041748047,19.92551040649414,22.42249298095703,18.479060462383046,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.9783746239999997,2.9783746239999997,,,,,,,,,,,,,,,,0.6082389687499999,0.5956749248,0.5956749248,0.4963957706666666,0.37229682799999997,include,0.6285648560281273,below,20to30,0.07626696565944419,1.0101962027005815,0.8617583249892025,0.047532300730131594
7,TEXAS_PSM_RR00013,KNR195-5 MC9,this study,1563.0,-0.826,-87.9082,23.64090919494629,0.613468173,2.377567418,2.913223876,2.913223876,11.77786864617966,0.032469552,0.313385037,0.21985903764814982,0.313385037,0.07307093,0.071792069,0.006095506,0.497572497,0.038083961,coretop,-1.0,23.64090919494629,20.08500862121582,22.7861328125,18.578255092812245,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,2.913223876,2.913223876,,,,,,,,,,,,,,,,0.5943918545,0.5826447752,0.5826447752,0.48553731266666666,0.3641529845,include,0.6135617170306726,below,20to30,0.07109773518309752,1.0178134022018506,0.906849829642451,0.027364715118534326
8,TEXAS_PSM_RR00014,64PE304-56,Fallet2012,2652.0,-16.85,41.32,27.231189727783203,0.686,2.575953845,3.148962222,3.148962222,7.372500289966116,0.1251,0.256685729,0.22911694476384278,0.256685729,0.068813559,0.08937023,0.012122106,0.523951803,0.049056574,coretop,-1.0,27.231189727783203,24.237689971923828,26.331682205200195,23.293021299989636,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.148962222,3.148962222,,,,,,,,,,,,,,,,0.64398846125,0.6297924444,0.6297924444,0.524827037,0.39362027775,include,0.6711844889876497,below,20to30,0.08561231557701991,0.7699830133591465,1.1042132044012982,0.0466816346708809
9,TEXAS_PSM_RR00015,64PE304-63,Fallet2012,1695.0,-16.5887,40.3608,27.017900466918945,0.689,2.648138569,3.23446305,3.23446305,5.634982923906476,0.1102,0.234902666,0.23366027339164702,0.234902666,0.07095497,0.091567971,0.016249911,0.537073889,0.049250592,coretop,-1.0,27.017900466918945,23.541589736938477,26.017175674438477,22.64056359253342,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.23446305,3.23446305,,,,,,,,,,,,,,,,0.66203464225,0.64689261,0.64689261,0.539077175,0.40430788125,include,0.6957126942799449,below,20to30,0.08399886683223791,0.7748885251590866,1.0500326352145355,0.06010897954542366
10,TEXAS_PSM_RR00016,64PE304-66,Fallet2012,1103.0,-16.5342,40.05458,26.98940086364746,0.691,2.872911471,3.521600661,3.521600661,4.393979405628718,0.0978,0.189589377,0.19955492735440117,0.189589377,0.063497985,0.080013618,0.01820983,0.605018446,0.043670744,coretop,-1.0,26.98940086364746,23.334209442138672,25.916025161743164,22.44620897811387,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.521600661,3.521600661,,,,,,,,,,,,,,,,0.71822786775,0.7043201322,0.7043201322,0.5869334435,0.440200082625,include,0.761405096310007,below,20to30,0.06732152265401554,0.7935897236892852,0.9792651780004151,0.07532970466910072
11,TEXAS_PSM_RR00017,64PE304-68,Fallet2012,756.0,-16.5029,40.0252,26.98940086364746,0.692,2.7748761360000005,3.390920974,3.390920974,3.891030763877249,0.0933,0.205340626,0.22476867777467543,0.205340626,0.068953196,0.087240435,0.022420906,0.570673202,0.045371636,coretop,-1.0,26.98940086364746,23.334209442138672,25.916025161743164,22.44620897811387,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.390920974,3.390920974,,,,,,,,,,,,,,,,0.6937190340000001,0.6781841948,0.6781841948,0.5651534956666667,0.42386512175,include,0.7353905064691708,below,20to30,0.07364989234760862,0.7903811575446636,0.9547610656682569,0.08433510131982785
12,TEXAS_PSM_RR00018,M75-1b MC7,Fallet2012,455.0,-17.27183333,43.15516667,27.22570037841797,0.715,2.921663901,3.57471373,3.57471373,3.9005335806967554,0.0235,0.171708781,0.21156977786525316,0.171708781,0.06376583,0.088727922,0.022747637,0.604781212,0.048268617,coretop,-1.0,27.22570037841797,24.16839027404785,26.097314834594727,23.128425969059215,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.57471373,3.57471373,,,,,,,,,,,,,,,,0.73041597525,0.714942746,0.714942746,0.5957856216666667,0.44683921625,include,0.7788654296282734,below,20to30,0.07391260950778077,0.7186670054100894,1.0255966507503393,0.08617530921994186
13,TEXAS_PSM_RR00019,M75-1b MC3,Fallet2012,2768.0,-16.92366667,41.59883333,27.245010375976562,0.687,2.652471048,3.2446035560000004,3.2446035560000004,7.052982510410037,0.1356,0.238238459,0.22267996462163217,0.238238459,0.067944047,0.089057989,0.012626997,0.544638798,0.04749371,coretop,-1.0,27.245010375976562,24.3865909576416,26.365304946899414,23.41656782629696,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.2446035560000004,3.2446035560000004,,,,,,,,,,,,,,,,0.663117762,0.6489207112,0.6489207112,0.5407672593333334,0.40557544450000005,include,0.6956886192952723,below,20to30,0.08020790846362381,0.7629191694413848,1.105334926527699,0.04881186888455502
14,TEXAS_PSM_RR00020,M75-1b MC9,Fallet2012,1345.0,-16.55583333,40.13483333,26.98940086364746,0.7,2.774249028,3.3936470319999996,3.3936470319999996,5.168103636976632,0.0753,0.20723775,0.21868378066690233,0.20723775,0.067271673,0.08889238,0.017200193,0.56847128,0.050926724,coretop,-1.0,26.98940086364746,23.334209442138672,25.916025161743164,22.44620897811387,-30to0,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,coretop,,3.3936470319999996,3.3936470319999996,,,,,,,,,,,,,,,,0.693562257,0.6787294063999999,0.6787294063999999,0.5656078386666666,0.42420587899999995,include,0.7328408694688007,below,20to30,0.0822197095746534,0.7567765988490803,1.0523311986502109,0.0655853515022343
