sampleID,sampleName,Source,Temperature,TEX86,ringIndex,scaledRI,gdgt23ratio,phyloT_order,GTDB_phylum,NCBI_phylum,GTDB_class,NCBI_class,GTDB_order,NCBI_order,GTDB_family,NCBI_family,GTDB_genus,NCBI_genus,GTDB_species,NCBI_species,Strains,experiment_setup,organism_broadClass,organism_broadClass2,organism_broadClass3,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,datatype,methaneIndex,gdgtZeroOverZeroCren,BIT,violin_bins
TEXAS_PSM_culture_RR001,Bale2019_019_Cultures_ThAOA_Ca_Nitrosotenuis uzonesis_C-GDGT_37,Bale et al. (2019) AEM,37,0.5785440613026817,2.792553191489363,0.6981382978723407,0.4788732394366198,13.0,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__,g__Nitrosotenuis,g__Nitrosotenuis,,,N4,culture-temperature,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.0939716312056738,0.195035460992908,0.0602836879432624,0.125886524822695,0.443262411347518,0.0815602836879433,culture,0.42074363992172203,0.1749174917491749,0,culture-temperature_Terrestrial thermophile
TEXAS_PSM_culture_RR002,Bale2019_020_Cultures_ThAOA_Ca_Nitrosotenuis uzonesis_C-GDGT_46,Bale et al. (2019) AEM,46,0.8069306930693072,3.7346368715083815,0.9336592178770954,0.4827586206896544,13.0,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__,g__Nitrosotenuis,g__Nitrosotenuis,,,N4,culture-temperature,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.00558659217877095,0.0544692737430168,0.0195530726256983,0.0405027932960894,0.712290502793296,0.167597765363129,culture,0.11516853932584269,0.007782101167315176,0,culture-temperature_Terrestrial thermophile
TEXAS_PSM_culture_RR003,Bale2019_021_Cultures_ThAOA_Ca_Nitrosotenuis uzonesis_C-GDGT_50,Bale et al. (2019) AEM,50,0.7551020408163264,3.7256637168141578,0.9314159292035394,0.6521739130434766,13.0,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__,g__Nitrosotenuis,g__Nitrosotenuis,,,N4,culture-temperature,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.00632111251580278,0.0606826801517067,0.0189633375474083,0.0290771175726928,0.745891276864728,0.139064475347661,culture,0.10941475826972011,0.008403361344537815,0,culture-temperature_Terrestrial thermophile
TEXAS_PSM_culture_RR004,Elling2015_Culture_NA0A2_18,Elling et al. (2015) GCA,18,0.8581081081081079,2.437575757575757,0.6093939393939393,0.40226628895184097,5.2,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA2,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.121212121212121,0.101818181818182,0.172121212121212,0.427878787878788,0.161212121212121,0.0157575757575758,culture,0.7986206896551726,0.429184549356223,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR005,Elling2015_Culture_NA0A2_22,Elling et al. (2015) GCA,22,0.8273381294964026,2.2354285714285727,0.5588571428571432,1.088785046728969,5.2,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA2,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.164571428571429,0.109714285714286,0.266285714285714,0.244571428571429,0.2,0.0148571428571429,culture,0.7428180574555405,0.4514106583072107,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR006,Elling2015_Culture_NA0A2_28,Elling et al. (2015) GCA,28,0.8687615526802215,2.5175141242937826,0.6293785310734457,1.064516129032258,5.2,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA2,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.11864406779661,0.080225988700565,0.261016949152542,0.245197740112994,0.270056497175141,0.0248587570621469,culture,0.6653846153846152,0.30523255813953476,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR007,Elling2015_Culture_NA0A2_35,Elling et al. (2015) GCA,35,0.8092643051771117,2.915676959619954,0.7289192399049885,0.7103448275862086,5.2,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA2,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.104513064133017,0.0831353919239905,0.122327790973872,0.172209026128266,0.459619952494062,0.0581947743467934,culture,0.4217506631299735,0.1852631578947373,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR008,Elling2015_Culture_NA0A6_18,Elling et al. (2015) GCA,18,0.5053763440860214,1.8390688259109316,0.4597672064777329,4.027027027027021,7.1,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA6,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.315789473684211,0.186234817813765,0.15080971659919,0.0374493927125506,0.307692307692308,0.00202429149797571,culture,0.5473372781065083,0.5064935064935067,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR009,Elling2015_Culture_NA0A6_22,Elling et al. (2015) GCA,22,0.8192090395480229,2.4196428571428577,0.6049107142857144,1.1161616161616168,7.1,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA6,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.136160714285714,0.107142857142857,0.246651785714286,0.220982142857143,0.271205357142857,0.0178571428571429,culture,0.6653746770025842,0.33424657534246544,0,culture-temperature_Marine mesophile
TEXAS_PSM_culture_RR010,Elling2015_Culture_NA0A6_28,Elling et al. (2015) GCA,28,0.8700440528634362,2.795309168443498,0.6988272921108745,2.389380530973461,7.1,p__Thermoproteota,p__Nitrososphaerota,c__Nitrososphaeria,c__Nitrososphaeria,o__Nitrososphaerales,o__Nitrosopumilales,f__Nitrosopumilaceae,f__Nitrosopumilaceae,g__Nitrosopumilus,g__Nitrosopumilus,,,NAOA6,culture-temperature,Marine mesophile,Group 1.1a,Group 1.1a-Nitrosopumilus,0.0799573560767591,0.0628997867803838,0.287846481876333,0.12046908315565,0.436034115138593,0.0127931769722815,culture,0.5121668597914251,0.1549586776859504,0,culture-temperature_Marine mesophile
