sampleID,sampleName,Strains,organism_reported_names,phyloT_order,GTDB_phylum,GTDB_class,GTDB_order,GTDB_family,GTDB_genus,GTDB_species,NCBI_phylum,NCBI_class,NCBI_order,NCBI_family,NCBI_genus,NCBI_species,organism_broadClass,organism_broadClass2,organism_broadClass3,organism_genomes_combined_WGS_PGS,isolate_from,geographic_location,sampleID_new,reported_Temp,reported_Salinity,reported_pH,reported_oxy_micromolar,reported_ammonium,reported_ionicStrength,reported_AOR_umol_NO2_l_d,reported_growthPhase_growthRate,experiment_setup,Broad Filtration Class,Lipid Extractions,Filter pore size,sum_reported_fractions,reported_1302,reported_1300,reported_1298,reported_1296,reported_1292,reported_1292_iso,reported_1294,reported_1290,reported_1288,reported_1286,reported_1292_iso2,reported_1294_iso,reported_1290_iso,reported_1288_iso,reported_1286_iso,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,BITindex,dataType_level0,dataType_level1,Source,short_remark,full_remark,duplicate_Datasets,incomplete_GDGT_fractions,BIT_QC_above05,gdgt0Cren_QC_above07,MI_QC_above05,QC_Indices_check,detectionLimit_check,Source2,firstAuthor_firstName,DOI,Taxonomy data update,TEX86,ringIndex,scaledRI,gdgt23ratio,methaneIndex,gdgtZeroOverZeroCren,TEX_RI,deltaRI
RR00001,Bale2019_001_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_DH_37,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_001,37,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 2G (Dihexose),,25.4,0.0,0.6,2.8,5.0,4.0,0.0,13.0,,,,,,,,,0.0,0.04838709677419355,0.2258064516129032,0.4032258064516129,0.3225806451612903,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,Yes,Fail,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.9285714285714285,3.0,0.75,0.5599999999999999,0.6774193548387096,0.0,3.7376530612244894,0.7376530612244894
RR00002,Bale2019_002_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_DH_46,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_002,46,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 2G (Dihexose),,28.7,0.0,0.3,1.9,4.5,11.0,0.0,11.0,,,,,,,,,0.0,0.01694915254237288,0.10734463276836158,0.2542372881355932,0.6214689265536724,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,No,Pass,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.955223880597015,3.480225988700565,0.8700564971751412,0.4222222222222222,0.37853107344632764,0.0,3.8838204499888622,0.40359446128829735
RR00003,Bale2019_003_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_DH_50,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_003,50,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 2G (Dihexose),,35.6,0.0,0.1,2.8,5.7,14.0,0.0,13.0,,,,,,,,,0.0,0.004424778761061947,0.1238938053097345,0.252212389380531,0.6194690265486725,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,No,Pass,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.9883720930232558,3.486725663716814,0.8716814159292035,0.4912280701754385,0.3805309734513274,0.0,4.072193077339102,0.5854674136222879
RR00004,Bale2019_004_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_HPH_37,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_004,37,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); HPH,,36.0,7.0,9.2,3.8,1.8,14.0,0.0,0.2,,,,,,,,,0.19553072625698326,0.2569832402234637,0.10614525139664804,0.05027932960893855,0.3910614525139665,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,Yes,Fail,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.3783783783783784,2.184357541899441,0.5460893854748603,2.111111111111111,0.5138888888888888,0.19553072625698326,1.773973703433163,-0.41038383846627813
RR00005,Bale2019_005_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_HPH_46,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_005,46,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); HPH,,33.2,0.7,1.4,1.3,0.8,29.0,0.0,0.0,,,,,,,,,0.02108433734939759,0.04216867469879518,0.0391566265060241,0.024096385542168672,0.8734939759036143,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,No,Pass,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.6,3.686746987951807,0.9216867469879517,1.6250000000000002,0.1076923076923077,0.02108433734939759,2.3232,-1.363546987951807
RR00006,Bale2019_006_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_HPH_50,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_006,50,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); HPH,,21.900000000000002,0.6,1.0,0.8,0.4,19.0,0.0,0.1,,,,,,,,,0.027522935779816512,0.04587155963302752,0.03669724770642202,0.01834862385321101,0.8715596330275229,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,No,Pass,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.5454545454545454,3.6605504587155964,0.9151376146788991,2.0,0.1037735849056604,0.027522935779816512,2.157768595041322,-1.5027818636742745
RR00007,Bale2019_007_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_MH_37,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_007,37,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 1G (Hexose),,4.300000000000001,0.5,0.6,0.5,0.6,1.6,0.0,0.5,,,,,,,,,0.13157894736842105,0.15789473684210525,0.13157894736842105,0.15789473684210525,0.42105263157894735,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,Yes,Fail,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.6470588235294118,2.578947368421052,0.644736842105263,0.8333333333333334,0.5151515151515151,0.13157894736842105,2.4817993079584775,-0.09714806046257474
RR00008,Bale2019_008_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_MH_46,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_008,46,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 1G (Hexose),,5.3999999999999995,0.2,0.7,0.7,0.9,2.1,0.0,0.8,,,,,,,,,0.04347826086956522,0.15217391304347827,0.15217391304347827,0.1956521739130435,0.4565217391304348,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,Yes,Fail,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.6956521739130435,2.8695652173913047,0.7173913043478262,0.7777777777777778,0.5227272727272727,0.04347826086956522,2.6610018903591683,-0.20856332703213631
RR00009,Bale2019_009_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_MH_50,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_009,50,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); 1G (Hexose),,10.200000000000001,0.5,0.9,1.0,0.8,5.7,0.0,1.3,,,,,,,,,0.056179775280898875,0.10112359550561797,0.11235955056179775,0.0898876404494382,0.6404494382022472,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,No,Pass,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.6666666666666667,3.157303370786517,0.7893258426966292,1.25,0.3214285714285714,0.056179775280898875,2.5522222222222224,-0.6050811485642944
RR00010,Bale2019_010_Cultures_ThAOA_Ca Nitrosotenuis uzonesis_P-GDGT_TH1_37,N4,Candidatus Nitrosotenuis uzonensis N4,13.0,p__Thermoproteota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,,p__Nitrososphaerota,c__Nitrososphaeria,o__Nitrosopumilales,f__,g__Nitrosotenuis,,Terrestrial thermophile,Group 1.1a,Group 1.1a-Nitrosopumilus,sequenced,,,RR_culture_010,37,,,,,,,,culture-temperature,IPL-GDGTs,IPL-GDGT (reported); TH1,,22.3,0.0,0.8,3.4,7.1,1.1,0.0,9.9,,,,,,,,,0.0,0.06451612903225806,0.27419354838709675,0.5725806451612903,0.08870967741935484,0.0,,Culture,Culture - ThAOA,Bale et al. (2019) AEM,Data from original source,Data from original source; average abundance from 4 replicates,No,No,Not reported; Assumed no brGDGTs (cultures),No,Yes,Fail,Fail,Bale et al. (2019),Nicole,https://doi.org/10.1128/AEM.01332-19,"GTDB Release 214.1; NCBI (retrieved from February 21, 2024)",0.9292035398230089,2.6854838709677415,0.6713709677419354,0.47887323943661975,0.9112903225806451,0.0,3.7410650794893883,1.0555812085216467
