Temperature,tex86,fGDGT_0,fGDGT_1,fGDGT_2,fGDGT_3,fGDGT_cren,fGDGT_cren_prime,Source
10,0.33457817,0.416348452,0.096573132,0.032519524,0.012108596,0.438520854,0.003929442,Wuchter2004
15,0.288381123,0.434733935,0.088905888,0.022483021,0.01026196,0.440331368,0.003283827,Wuchter2004
15,0.239814055,0.451411975,0.09728103,0.018896315,0.008398362,0.420617979,0.003394338,Wuchter2004
22,0.466403162,0.196236559,0.051843318,0.028763441,0.010061444,0.706605223,0.006490015,Wuchter2004
25,0.461538462,0.193623458,0.040726088,0.017523854,0.009937165,0.730742378,0.007447056,Wuchter2004
25,0.483546618,0.145988198,0.043298337,0.024906123,0.008199862,0.77017396,0.00743352,Wuchter2004
30,0.527553852,0.153019107,0.071979383,0.057784847,0.01308716,0.694626211,0.009503292,Wuchter2004
35,0.70545862,0.108379923,0.057469469,0.105256582,0.020832683,0.696504982,0.011556361,Wuchter2004
13,0.263181116,0.480892646,0.057159482,0.01305769,0.00482604,0.441531326,0.002532815,Wuchter2004
15,0.309939803,0.371221041,0.090714327,0.026763943,0.009007096,0.497320389,0.004973204,Wuchter2004
15,0.383922502,0.357007113,0.098414508,0.044116849,0.011945485,0.483249172,0.005266873,Wuchter2004
22,0.507545671,0.236284745,0.079907205,0.061863642,0.014048202,0.601452077,0.006444129,Wuchter2004
25,0.497763697,0.175541252,0.065706066,0.048030037,0.010569046,0.693631753,0.006521845,Wuchter2004
25,0.421501147,0.199992453,0.06660126,0.029998868,0.011150523,0.684879816,0.00737708,Wuchter2004
30,0.466711957,0.144585755,0.044077599,0.019933182,0.009812179,0.772761728,0.008829557,Wuchter2004
25,0.533263671,0.282239097,0.090047712,0.063302197,0.028963107,0.524830321,0.010617566,Schouten2007
25,0.44977757,0.230495896,0.073897047,0.035219018,0.013395805,0.635200151,0.011792082,Schouten2007
32,0.683519108,0.272514923,0.051583182,0.055800675,0.01570205,0.564495199,0.039903971,Schouten2007
34,0.606766364,0.125782247,0.049939288,0.045611632,0.019676827,0.747221271,0.011768735,Schouten2007
36,0.813041496,0.04958292,0.023916467,0.054249548,0.022633145,0.822493146,0.027124774,Schouten2007
40,0.770573566,0.041215261,0.021667452,0.02253101,0.020254357,0.864342911,0.029989009,Schouten2007
