user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
user_GCA_000016605.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	GCA_000016605.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	100.0	1.0	GCA_000016605.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula	100.0	1.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_022064045.1, s__Metallosphaera javensis, 95.0, 80.65, 0.277	93.28	11	N/A	N/A
user_GCA_000200715.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum symbiosum	GCA_000200715.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum symbiosum	100.0	1.0	GCA_000200715.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__Cenarchaeum symbiosum	100.0	1.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Cenarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	86.37	11	N/A	N/A
user_GCA_000204585.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum limnae	GCA_000204585.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum limnae	100.0	1.0	GCA_000204585.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum limnae	100.0	1.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 85.7, 0.491; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 85.22, 0.368; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 85.18, 0.335; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 85.14, 0.338; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 84.93, 0.263; GCA_025930495.1, s__Nitrosarchaeum sp025930495, 95.0, 84.76, 0.438; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 84.28, 0.47; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.25, 0.43; GCA_938049695.1, s__Nitrosarchaeum sp938049695, 95.0, 84.21, 0.48; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.06, 0.451; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 83.59, 0.461; GCF_025699065.1, s__Nitrosarchaeum sp025699065, 95.0, 83.31, 0.372; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 83.3, 0.423; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 83.0, 0.319; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.84, 0.329; GCF_000220175.1, s__Nitrosarchaeum koreense, 95.0, 82.34, 0.351; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 81.94, 0.154; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.93, 0.337	83.85	11	N/A	N/A
user_GCF_000007005.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus solfataricus	GCF_900079115.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus solfataricus	99.51	0.971	GCF_900079115.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__Saccharolobus solfataricus	99.51	0.971	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Saccharolobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000022485.1, s__Saccharolobus islandicus, 95.0, 89.52, 0.596; GCF_019175345.1, s__Saccharolobus shibatae, 95.0, 87.57, 0.568; GCF_009601705.1, s__Saccharolobus sp009601705, 95.0, 86.67, 0.582	93.59	11	N/A	N/A
user_GCF_000018465.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	GCF_000018465.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	100.0	1.0	GCF_000018465.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus maritimus	100.0	1.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_003702525.1, s__Nitrosopumilus sp003702525, 95.0, 89.88, 0.763; GCA_003702545.1, s__Nitrosopumilus sp003702545, 95.0, 89.84, 0.796; GCA_003702495.1, s__Nitrosopumilus sp003702495, 95.0, 89.54, 0.739; GCA_000746765.1, s__Nitrosopumilus sp000746765, 95.0, 88.82, 0.657; GCF_006740685.1, s__Nitrosopumilus sp006740685, 95.0, 88.26, 0.691; GCA_016125975.1, s__Nitrosopumilus sp016125975, 95.0, 87.23, 0.574; GCA_013867245.1, s__Nitrosopumilus sp013867245, 95.0, 87.0, 0.407; GCA_021268355.1, s__Nitrosopumilus sp021268355, 95.0, 86.03, 0.624; GCF_000875775.1, s__Nitrosopumilus piranensis, 95.0, 85.78, 0.545; GCF_000299365.1, s__Nitrosopumilus koreensis, 95.0, 85.48, 0.535; GCA_937875805.1, s__Nitrosopumilus sp937875805, 95.0, 83.56, 0.224; GCA_016784625.1, s__Nitrosopumilus sp016784625, 95.0, 83.17, 0.319; GCA_030637455.1, s__Nitrosopumilus sp030637455, 95.0, 82.78, 0.223; GCA_028279625.1, s__Nitrosopumilus sp028279625, 95.0, 82.25, 0.287; GCA_937896495.1, s__Nitrosopumilus sp937896495, 95.0, 82.21, 0.207; GCA_029941825.1, s__Nitrosopumilus sp029941825, 95.0, 82.12, 0.238; GCA_024644105.1, s__Nitrosopumilus sp024644105, 95.0, 82.11, 0.286; GCA_013043295.1, s__Nitrosopumilus sp013043295, 95.0, 81.89, 0.225; GCA_029860565.1, s__Nitrosopumilus sp029860565, 95.0, 81.71, 0.152; GCA_018674605.1, s__Nitrosopumilus sp018674605, 95.0, 81.62, 0.159; GCA_018668425.1, s__Nitrosopumilus sp018668425, 95.0, 81.61, 0.329; GCF_013407145.1, s__Nitrosopumilus cobalaminigenes, 95.0, 81.6, 0.318; GCA_022565935.1, s__Nitrosopumilus sp022565935, 95.0, 81.59, 0.246; GCA_014384555.1, s__Nitrosopumilus sp014384555, 95.0, 81.58, 0.297; GCA_950073955.1, s__Nitrosopumilus sp950073955, 95.0, 81.53, 0.299; GCF_028278985.1, s__Nitrosopumilus sp028278985, 95.0, 81.45, 0.285; GCA_002730325.1, s__Nitrosopumilus sp002730325, 95.0, 81.4, 0.223; GCF_000956175.1, s__Nitrosopumilus adriaticus, 95.0, 81.39, 0.279; GCA_013911135.1, s__Nitrosopumilus sp013911135, 95.0, 81.35, 0.247; GCA_001510275.1, s__Nitrosopumilus sp001510275, 95.0, 81.34, 0.33; GCA_002788515.1, s__Nitrosopumilus sp002788515, 95.0, 81.31, 0.19; GCA_018263505.1, s__Nitrosopumilus sp018263505, 95.0, 81.2, 0.241; GCF_000242875.2, s__Nitrosopumilus salaria, 95.0, 81.2, 0.209; GCA_028377625.1, s__Nitrosopumilus sp028377625, 95.0, 81.16, 0.247; GCA_029861345.1, s__Nitrosopumilus sp029861345, 95.0, 81.16, 0.171; GCF_025699125.1, s__Nitrosopumilus sp025699125, 95.0, 81.13, 0.242; GCA_013203245.1, s__Nitrosopumilus sp013203245, 95.0, 81.12, 0.183; GCA_022564385.1, s__Nitrosopumilus sp022564385, 95.0, 80.99, 0.18; GCF_000299395.1, s__Nitrosopumilus sediminis, 95.0, 80.97, 0.257; GCF_025699255.1, s__Nitrosopumilus sp025699255, 95.0, 80.93, 0.254; GCF_014078525.1, s__Nitrosopumilus sp014078525, 95.0, 80.84, 0.255; GCA_937897875.1, s__Nitrosopumilus sp937897875, 95.0, 80.8, 0.178; GCA_003702465.1, s__Nitrosopumilus sp003702465, 95.0, 80.79, 0.211; GCA_028343855.1, s__Nitrosopumilus sp028343855, 95.0, 80.76, 0.221; GCA_001543015.1, s__Nitrosopumilus sp001543015, 95.07, 80.75, 0.22; GCF_013407165.1, s__Nitrosopumilus oxyclinae, 95.0, 80.74, 0.25; GCA_029250275.1, s__Nitrosopumilus sp029250275, 95.0, 80.73, 0.226; GCF_025998175.1, s__Nitrosopumilus zosterae, 95.0, 80.67, 0.222; GCF_029882185.1, s__Nitrosopumilus sp029882185, 95.0, 80.65, 0.222; GCA_024276695.1, s__Nitrosopumilus sp024276695, 95.0, 80.56, 0.245; GCF_025698945.1, s__Nitrosopumilus sp025698945, 95.0, 80.53, 0.241; GCA_029782475.1, s__Nitrosopumilus sp029782475, 95.0, 80.52, 0.198; GCF_013407185.1, s__Nitrosopumilus ureiphilus, 95.0, 80.4, 0.244; GCA_013390905.1, s__Nitrosopumilus sp013390905, 95.0, 80.38, 0.25; GCA_025699075.1, s__Nitrosopumilus sp025699075, 95.0, 80.3, 0.216; GCA_003331425.1, s__Nitrosopumilus sp002690535, 95.0, 80.26, 0.219; GCA_022573895.1, s__Nitrosopumilus sp022573895, 95.0, 80.24, 0.194; GCA_905612295.1, s__Nitrosopumilus sp905612295, 95.0, 80.24, 0.173; GCA_905479565.1, s__Nitrosopumilus sp905479565, 95.0, 80.21, 0.192; GCA_029864335.1, s__Nitrosopumilus sp029864335, 95.0, 80.16, 0.245; GCA_902514275.1, s__Nitrosopumilus sp902514275, 95.0, 80.16, 0.189; GCA_902514095.1, s__Nitrosopumilus sp902514095, 95.0, 80.09, 0.154; GCA_002317795.1, s__Nitrosopumilus sp002317795, 95.0, 80.05, 0.215; GCA_028335865.1, s__Nitrosopumilus sp028335865, 95.0, 79.99, 0.167; GCA_013215285.1, s__Nitrosopumilus sp013215285, 95.0, 79.92, 0.203; GCA_905616385.1, s__Nitrosopumilus sp905616385, 95.0, 79.83, 0.189; GCA_029881195.1, s__Nitrosopumilus sp029881195, 95.0, 79.73, 0.161; GCF_001541925.1, s__Nitrosopumilus sp001541925, 95.0, 79.67, 0.193; GCA_905612275.1, s__Nitrosopumilus sp905612275, 95.0, 79.53, 0.158; GCA_028448965.1, s__Nitrosopumilus sp028448965, 95.0, 79.52, 0.239; GCA_008080815.1, s__Nitrosopumilus sp008080815, 95.0, 79.52, 0.212; GCA_905612485.1, s__Nitrosopumilus sp905612485, 95.0, 79.46, 0.172; GCA_029864805.1, s__Nitrosopumilus sp029864805, 95.0, 79.44, 0.177; GCF_002156965.1, s__Nitrosopumilus catalinensis, 95.0, 79.4, 0.194; GCA_022117465.1, s__Nitrosopumilus limneticus, 95.0, 79.06, 0.184; GCA_029862745.1, s__Nitrosopumilus sp029862745, 95.0, 79.02, 0.16	93.58	11	N/A	N/A
user_GCF_000144915.1	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus saccharovorans	GCF_000144915.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus saccharovorans	100.0	1.0	GCF_000144915.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus saccharovorans	100.0	1.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	93.39	11	N/A	N/A
user_GCF_000190315.1	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta moutnovskia	GCF_000190315.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta moutnovskia	100.0	1.0	GCF_000190315.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__Vulcanisaeta moutnovskia	100.0	1.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermocladiaceae;g__Vulcanisaeta;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001316285.1, s__Vulcanisaeta sp001316285, 95.0, 81.98, 0.276; GCA_002496475.1, s__Vulcanisaeta sp002496475, 95.0, 81.21, 0.183; GCF_001316005.1, s__Vulcanisaeta distributa_B, 95.0, 80.88, 0.246; GCF_000148385.1, s__Vulcanisaeta distributa, 95.0, 80.86, 0.252; GCF_001316265.1, s__Vulcanisaeta sp001316265, 95.0, 80.54, 0.233; GCF_001315985.1, s__Vulcanisaeta distributa_E, 95.0, 80.13, 0.204; GCA_001316125.1, s__Vulcanisaeta distributa_C, 95.0, 79.96, 0.215; GCF_026000775.1, s__Vulcanisaeta souniana, 95.0, 79.96, 0.175	88.24	11	N/A	N/A
user_GCF_000193375.1	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus uzoniensis	GCF_000193375.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus uzoniensis	100.0	1.0	GCF_000193375.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus uzoniensis	100.0	1.0	d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002077075.2, s__Thermoproteus sp002077075, 95.0, 82.23, 0.308	88.21	11	N/A	N/A
user_GCF_000220175.1	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	GCF_000220175.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	100.0	1.0	GCF_000220175.1	95.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__Nitrosarchaeum koreense	100.0	1.0	d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosarchaeum;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_025699065.1, s__Nitrosarchaeum sp025699065, 95.0, 94.33, 0.851; GCA_018334095.1, s__Nitrosarchaeum sp018334095, 95.0, 91.85, 0.749; GCA_012030815.1, s__Nitrosarchaeum sp012030815, 95.0, 88.11, 0.638; GCA_013140415.1, s__Nitrosarchaeum sp013140415, 95.0, 86.09, 0.449; GCA_009697485.1, s__Nitrosarchaeum sp009697485, 95.0, 86.01, 0.52; GCA_004297665.1, s__Nitrosarchaeum sp004297665, 95.0, 85.79, 0.333; GCA_016234975.1, s__Nitrosarchaeum sp016234975, 95.0, 85.57, 0.387; GCA_025930495.1, s__Nitrosarchaeum sp025930495, 95.0, 85.12, 0.497; GCA_005798405.1, s__Nitrosarchaeum sp005798405, 95.0, 84.69, 0.504; GCA_938049695.1, s__Nitrosarchaeum sp938049695, 95.0, 84.69, 0.489; GCA_023264875.1, s__Nitrosarchaeum sp023264875, 95.0, 84.67, 0.526; GCA_021414105.1, s__Nitrosarchaeum sp021414105, 95.0, 84.28, 0.485; GCA_003569705.1, s__Nitrosarchaeum sp003569705, 95.0, 84.09, 0.481; GCA_021414365.1, s__Nitrosarchaeum sp021414365, 95.0, 83.16, 0.403; GCA_023265135.1, s__Nitrosarchaeum sp023265135, 95.0, 82.43, 0.35; GCA_000204585.1, s__Nitrosarchaeum limnae, 95.0, 82.34, 0.351; GCA_022758935.1, s__Nitrosarchaeum sp022758935, 95.0, 82.11, 0.174; GCA_002737445.1, s__Nitrosarchaeum sp002737445, 95.0, 81.75, 0.339; GCA_016844465.1, s__Nitrosarchaeum sp016844465, 95.0, 81.37, 0.152	91.67	11	N/A	N/A
user_GCF_000231015.2	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus	GCF_000513855.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus	95.95	0.908	GCF_000513855.1	95.0	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus	95.95	0.908	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Desulfurococcus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	98.82	11	N/A	N/A
